model,imputation,param_model__C,log_C,param_model__min_samples_leaf,param_model__min_samples_split,metric,score,dataset
Random Forest,II,,,1,15,precision,0.497762398509848,Train
Random Forest,II,,,1,20,precision,0.4949214002828283,Train
Random Forest,II,,,2,2,precision,0.5029034328549,Train
Random Forest,II,,,2,5,precision,0.5032338700055177,Train
Random Forest,II,,,2,10,precision,0.49840958883585346,Train
Random Forest,II,,,2,15,precision,0.4951212492858466,Train
Random Forest,II,,,2,20,precision,0.49358190913870353,Train
Random Forest,II,,,5,2,precision,0.490606041574108,Train
Random Forest,II,,,5,5,precision,0.490606041574108,Train
Random Forest,II,,,5,10,precision,0.490606041574108,Train
Random Forest,II,,,5,15,precision,0.4909703339732767,Train
Random Forest,II,,,5,20,precision,0.48780317325382777,Train
Logistic Regression,None,0.001,-6.907755278982137,,,precision,0.45755333709112794,Train
Logistic Regression,None,0.01,-4.605170185988091,,,precision,0.45755333709112794,Train
Logistic Regression,None,0.1,-2.3025850929940455,,,precision,0.45755333709112794,Train
Logistic Regression,None,1.0,0.0,,,precision,0.45755333709112794,Train
Logistic Regression,None,10.0,2.302585092994046,,,precision,0.45755333709112794,Train
Logistic Regression,None,100.0,4.605170185988092,,,precision,0.45755333709112794,Train
Support Vector Machine,None,0.001,-6.907755278982137,,,precision,0.3171834625322997,Train
Support Vector Machine,None,0.01,-4.605170185988091,,,precision,0.4209984794085694,Train
Support Vector Machine,None,0.1,-2.3025850929940455,,,precision,0.4671508213132599,Train
Support Vector Machine,None,1.0,0.0,,,precision,0.46752455041929,Train
Support Vector Machine,None,10.0,2.302585092994046,,,precision,0.4729103351659095,Train
Support Vector Machine,None,100.0,4.605170185988092,,,precision,0.4778364978246557,Train
Decision Tree,None,,,1,2,precision,0.48488672900717733,Train
Decision Tree,None,,,1,5,precision,0.4810582735603481,Train
Decision Tree,None,,,1,10,precision,0.4765359652860742,Train
Decision Tree,None,,,1,15,precision,0.4763203987970394,Train
Decision Tree,None,,,1,20,precision,0.47534917715065156,Train
Decision Tree,None,,,2,2,precision,0.4764342533097394,Train
Decision Tree,None,,,2,5,precision,0.47615234647688354,Train
Decision Tree,None,,,2,10,precision,0.4733802666328675,Train
Decision Tree,None,,,2,15,precision,0.4730514343470262,Train
Decision Tree,None,,,2,20,precision,0.4725015888241607,Train
Decision Tree,None,,,5,2,precision,0.47065550272469264,Train
Decision Tree,None,,,5,5,precision,0.47065550272469264,Train
Decision Tree,None,,,5,10,precision,0.47065550272469264,Train
Decision Tree,None,,,5,15,precision,0.4702320242320213,Train
Decision Tree,None,,,5,20,precision,0.4696252749151076,Train
Random Forest,None,,,1,2,precision,0.4928940315110428,Train
Random Forest,None,,,1,5,precision,0.48912946658448775,Train
Random Forest,None,,,1,10,precision,0.48542836727473504,Train
Random Forest,None,,,1,15,precision,0.48196773233017776,Train
Random Forest,None,,,1,20,precision,0.4790294083403019,Train
Random Forest,None,,,2,2,precision,0.48579943445858403,Train
Random Forest,None,,,2,5,precision,0.4853088900091255,Train
Random Forest,None,,,2,10,precision,0.4827231829415974,Train
Random Forest,None,,,2,15,precision,0.4794944184265692,Train
Random Forest,None,,,2,20,precision,0.47670989761743204,Train
Random Forest,None,,,5,2,precision,0.47527013209282976,Train
Random Forest,None,,,5,5,precision,0.47527013209282976,Train
Random Forest,None,,,5,10,precision,0.47527013209282976,Train
Random Forest,None,,,5,15,precision,0.4725215325455659,Train
Random Forest,None,,,5,20,precision,0.4715379532683875,Train
Logistic Regression,MICE,0.001,-6.907755278982137,,,precision,0.46903603502516045,Train
Logistic Regression,MICE,0.01,-4.605170185988091,,,precision,0.46903603502516045,Train
Logistic Regression,MICE,0.1,-2.3025850929940455,,,precision,0.46903603502516045,Train
Logistic Regression,MICE,1.0,0.0,,,precision,0.46903603502516045,Train
Logistic Regression,MICE,10.0,2.302585092994046,,,precision,0.46903603502516045,Train
Logistic Regression,MICE,100.0,4.605170185988092,,,precision,0.46903603502516045,Train
Support Vector Machine,MICE,0.001,-6.907755278982137,,,precision,0.1095811818703385,Train
Support Vector Machine,MICE,0.01,-4.605170185988091,,,precision,0.4383364955689899,Train
Support Vector Machine,MICE,0.1,-2.3025850929940455,,,precision,0.4743550472090131,Train
Support Vector Machine,MICE,1.0,0.0,,,precision,0.48002220391285977,Train
Support Vector Machine,MICE,10.0,2.302585092994046,,,precision,0.4854939678901332,Train
Support Vector Machine,MICE,100.0,4.605170185988092,,,precision,0.48891401682351726,Train
Decision Tree,MICE,,,1,2,precision,0.50251381108758,Train
Decision Tree,MICE,,,1,5,precision,0.49712372791070203,Train
Decision Tree,MICE,,,1,10,precision,0.4914920667689892,Train
Decision Tree,MICE,,,1,15,precision,0.4879137830931759,Train
Decision Tree,MICE,,,1,20,precision,0.48569286073159457,Train
Decision Tree,MICE,,,2,2,precision,0.4896925779440877,Train
Decision Tree,MICE,,,2,5,precision,0.48954233032433603,Train
Decision Tree,MICE,,,2,10,precision,0.4869762849580352,Train
Decision Tree,MICE,,,2,15,precision,0.4844474029174884,Train
Decision Tree,MICE,,,2,20,precision,0.48246801143832074,Train
Decision Tree,MICE,,,5,2,precision,0.4807387449153705,Train
Decision Tree,MICE,,,5,5,precision,0.4807387449153705,Train
Decision Tree,MICE,,,5,10,precision,0.4807387449153705,Train
Decision Tree,MICE,,,5,15,precision,0.4798425451645736,Train
Decision Tree,MICE,,,5,20,precision,0.47822875161888007,Train
Random Forest,MICE,,,1,2,precision,0.516919856101982,Train
Random Forest,MICE,,,1,5,precision,0.5120458140284533,Train
Random Forest,MICE,,,1,10,precision,0.5037663712846179,Train
Random Forest,MICE,,,1,15,precision,0.4983339721034744,Train
Random Forest,MICE,,,1,20,precision,0.4944660171270183,Train
Random Forest,MICE,,,2,2,precision,0.5046532668398614,Train
Random Forest,MICE,,,2,5,precision,0.504387730479533,Train
Random Forest,MICE,,,2,10,precision,0.4993496189251672,Train
Random Forest,MICE,,,2,15,precision,0.4932539778490962,Train
Random Forest,MICE,,,2,20,precision,0.4904809739629346,Train
Random Forest,MICE,,,5,2,precision,0.4873480757339351,Train
Random Forest,MICE,,,5,5,precision,0.4873480757339351,Train
Random Forest,MICE,,,5,10,precision,0.4873480757339351,Train
Random Forest,MICE,,,5,15,precision,0.48406873874844697,Train
Random Forest,MICE,,,5,20,precision,0.48245867552787625,Train
Logistic Regression,KNN,0.001,-6.907755278982137,,,precision,0.4663330292975669,Validation
Logistic Regression,KNN,0.01,-4.605170185988091,,,precision,0.4663330292975669,Validation
Logistic Regression,KNN,0.1,-2.3025850929940455,,,precision,0.4663330292975669,Validation
Logistic Regression,KNN,1.0,0.0,,,precision,0.4663330292975669,Validation
Logistic Regression,KNN,10.0,2.302585092994046,,,precision,0.4663330292975669,Validation
Logistic Regression,KNN,100.0,4.605170185988092,,,precision,0.4663330292975669,Validation
Support Vector Machine,KNN,0.001,-6.907755278982137,,,precision,0.10938845822566752,Validation
Support Vector Machine,KNN,0.01,-4.605170185988091,,,precision,0.4340736204379122,Validation
Support Vector Machine,KNN,0.1,-2.3025850929940455,,,precision,0.46510176490852195,Validation
Support Vector Machine,KNN,1.0,0.0,,,precision,0.46756517054123636,Validation
Support Vector Machine,KNN,10.0,2.302585092994046,,,precision,0.4631460727270806,Validation
Support Vector Machine,KNN,100.0,4.605170185988092,,,precision,0.46115877707007374,Validation
Decision Tree,KNN,,,1,2,precision,0.42773334366209703,Validation
Decision Tree,KNN,,,1,5,precision,0.4278645610629246,Validation
Decision Tree,KNN,,,1,10,precision,0.4279490819519437,Validation
Decision Tree,KNN,,,1,15,precision,0.4285117264855235,Validation
Decision Tree,KNN,,,1,20,precision,0.42929301890531474,Validation
Decision Tree,KNN,,,2,2,precision,0.4278459315342159,Validation
Decision Tree,KNN,,,2,5,precision,0.4271885781469929,Validation
Decision Tree,KNN,,,2,10,precision,0.42829441395596923,Validation
Decision Tree,KNN,,,2,15,precision,0.4288001295375038,Validation
Decision Tree,KNN,,,2,20,precision,0.4298958531628853,Validation
Decision Tree,KNN,,,5,2,precision,0.43440513533388236,Validation
Decision Tree,KNN,,,5,5,precision,0.43440513533388236,Validation
Decision Tree,KNN,,,5,10,precision,0.43440513533388236,Validation
Decision Tree,KNN,,,5,15,precision,0.43387627752014546,Validation
Decision Tree,KNN,,,5,20,precision,0.4347505812482782,Validation
Random Forest,KNN,,,1,2,precision,0.42988411186631564,Validation
Random Forest,KNN,,,1,5,precision,0.43029332359065064,Validation
Random Forest,KNN,,,1,10,precision,0.4335359156284715,Validation
Random Forest,KNN,,,1,15,precision,0.4354434792889758,Validation
Random Forest,KNN,,,1,20,precision,0.43620672940615296,Validation
Random Forest,KNN,,,2,2,precision,0.4343664013207278,Validation
Random Forest,KNN,,,2,5,precision,0.43481205475820706,Validation
Random Forest,KNN,,,2,10,precision,0.435928977423952,Validation
Random Forest,KNN,,,2,15,precision,0.4361196312142984,Validation
Random Forest,KNN,,,2,20,precision,0.43732215106176564,Validation
Random Forest,KNN,,,5,2,precision,0.4405956276567531,Validation
Random Forest,KNN,,,5,5,precision,0.4405956276567531,Validation
Random Forest,KNN,,,5,10,precision,0.4405956276567531,Validation
Random Forest,KNN,,,5,15,precision,0.4396473152668629,Validation
Random Forest,KNN,,,5,20,precision,0.43898584038212257,Validation
Logistic Regression,KNN,0.001,-6.907755278982137,,,precision,0.46674431329515487,Validation
Logistic Regression,KNN,0.01,-4.605170185988091,,,precision,0.46674431329515487,Validation
Logistic Regression,KNN,0.1,-2.3025850929940455,,,precision,0.46674431329515487,Validation
Logistic Regression,KNN,1.0,0.0,,,precision,0.46674431329515487,Validation
Logistic Regression,KNN,10.0,2.302585092994046,,,precision,0.46674431329515487,Validation
Logistic Regression,KNN,100.0,4.605170185988092,,,precision,0.46674431329515487,Validation
Support Vector Machine,II,0.001,-6.907755278982137,,,precision,0.10938845822566752,Validation
Support Vector Machine,II,0.01,-4.605170185988091,,,precision,0.43564449173349,Validation
Support Vector Machine,II,0.1,-2.3025850929940455,,,precision,0.4685773571698177,Validation
Support Vector Machine,II,1.0,0.0,,,precision,0.46821866176990573,Validation
Support Vector Machine,II,10.0,2.302585092994046,,,precision,0.4637614801255181,Validation
Support Vector Machine,II,100.0,4.605170185988092,,,precision,0.4626968536472131,Validation
Decision Tree,II,,,1,2,precision,0.4135199867233573,Validation
Decision Tree,II,,,1,5,precision,0.41451196011844627,Validation
Decision Tree,II,,,1,10,precision,0.4168584406156973,Validation
Decision Tree,II,,,1,15,precision,0.4176755479494337,Validation
Decision Tree,II,,,1,20,precision,0.4183798702921358,Validation
Decision Tree,II,,,2,2,precision,0.41519760533592664,Validation
Decision Tree,II,,,2,5,precision,0.41485736705165704,Validation
Decision Tree,II,,,2,10,precision,0.4153240646086252,Validation
Decision Tree,II,,,2,15,precision,0.4173555715058983,Validation
Decision Tree,II,,,2,20,precision,0.4183841187757047,Validation
Decision Tree,II,,,5,2,precision,0.41726501852537295,Validation
Decision Tree,II,,,5,5,precision,0.41726501852537295,Validation
Decision Tree,II,,,5,10,precision,0.41726501852537295,Validation
Decision Tree,II,,,5,15,precision,0.4179363558010873,Validation
Decision Tree,II,,,5,20,precision,0.4188116655565935,Validation
Random Forest,II,,,1,2,precision,0.4244817128915069,Validation
Random Forest,II,,,1,5,precision,0.42565471727189913,Validation
Random Forest,II,,,1,10,precision,0.4277177351365449,Validation
Random Forest,II,,,1,15,precision,0.42892890210351686,Validation
Random Forest,II,,,1,20,precision,0.429582258552147,Validation
Random Forest,II,,,2,2,precision,0.42793001367864164,Validation
Random Forest,II,,,2,5,precision,0.43096353069403937,Validation
Random Forest,II,,,2,10,precision,0.43032177983028636,Validation
Random Forest,II,,,2,15,precision,0.4307721018634173,Validation
Random Forest,II,,,2,20,precision,0.43310307376676016,Validation
Random Forest,II,,,5,2,precision,0.4343520656639463,Validation
Random Forest,II,,,5,5,precision,0.4343520656639463,Validation
Random Forest,II,,,5,10,precision,0.4343520656639463,Validation
Random Forest,II,,,5,15,precision,0.4359172493144079,Validation
Random Forest,II,,,5,20,precision,0.43703375036315195,Validation
Logistic Regression,None,0.001,-6.907755278982137,,,precision,0.4562261334910305,Validation
Logistic Regression,None,0.01,-4.605170185988091,,,precision,0.4562261334910305,Validation
Logistic Regression,None,0.1,-2.3025850929940455,,,precision,0.4562261334910305,Validation
Logistic Regression,None,1.0,0.0,,,precision,0.4562261334910305,Validation
Logistic Regression,None,10.0,2.302585092994046,,,precision,0.4562261334910305,Validation
Logistic Regression,None,100.0,4.605170185988092,,,precision,0.4562261334910305,Validation
Support Vector Machine,None,0.001,-6.907755278982137,,,precision,0.31718346253229973,Validation
Support Vector Machine,None,0.01,-4.605170185988091,,,precision,0.4144498105330206,Validation
Support Vector Machine,None,0.1,-2.3025850929940455,,,precision,0.46057351594496965,Validation
Support Vector Machine,None,1.0,0.0,,,precision,0.45869727042163133,Validation
Support Vector Machine,None,10.0,2.302585092994046,,,precision,0.4581061490493223,Validation
Support Vector Machine,None,100.0,4.605170185988092,,,precision,0.4600432315883652,Validation
Decision Tree,None,,,1,2,precision,0.4123181017594056,Validation
Decision Tree,None,,,1,5,precision,0.4122586308514607,Validation
Decision Tree,None,,,1,10,precision,0.4114008092512443,Validation
Decision Tree,None,,,1,15,precision,0.41214096425215707,Validation
Decision Tree,None,,,1,20,precision,0.4117905017513814,Validation
Decision Tree,None,,,2,2,precision,0.4123482936532809,Validation
Decision Tree,None,,,2,5,precision,0.4125907986025144,Validation
Decision Tree,None,,,2,10,precision,0.4118683762286582,Validation
Decision Tree,None,,,2,15,precision,0.41288815360626097,Validation
Decision Tree,None,,,2,20,precision,0.41266722108346626,Validation
Decision Tree,None,,,5,2,precision,0.41510013665761786,Validation
Decision Tree,None,,,5,5,precision,0.41510013665761786,Validation
Decision Tree,None,,,5,10,precision,0.41510013665761786,Validation
Decision Tree,None,,,5,15,precision,0.41494045392564044,Validation
Decision Tree,None,,,5,20,precision,0.41494416800426703,Validation
Random Forest,None,,,1,2,precision,0.41820509866843114,Validation
Random Forest,None,,,1,5,precision,0.4176542935480559,Validation
Random Forest,None,,,1,10,precision,0.41899675093321087,Validation
Random Forest,None,,,1,15,precision,0.4185126522674155,Validation
Random Forest,None,,,1,20,precision,0.4196304166321905,Validation
Random Forest,None,,,2,2,precision,0.41931419318795127,Validation
Random Forest,None,,,2,5,precision,0.41895883551315743,Validation
Random Forest,None,,,2,10,precision,0.4182584359383489,Validation
Random Forest,None,,,2,15,precision,0.41873822047928183,Validation
Random Forest,None,,,2,20,precision,0.4196856124537807,Validation
Random Forest,None,,,5,2,precision,0.4196238636802871,Validation
Random Forest,None,,,5,5,precision,0.4196238636802871,Validation
Random Forest,None,,,5,10,precision,0.4196238636802871,Validation
Random Forest,None,,,5,15,precision,0.41808118564706526,Validation
Random Forest,None,,,5,20,precision,0.42037036322422566,Validation
Logistic Regression,MICE,0.001,-6.907755278982137,,,precision,0.4651550326654129,Validation
Logistic Regression,MICE,0.01,-4.605170185988091,,,precision,0.4651550326654129,Validation
Logistic Regression,MICE,0.1,-2.3025850929940455,,,precision,0.4651550326654129,Validation
Logistic Regression,MICE,1.0,0.0,,,precision,0.4651550326654129,Validation
Logistic Regression,MICE,10.0,2.302585092994046,,,precision,0.4651550326654129,Validation
Logistic Regression,MICE,100.0,4.605170185988092,,,precision,0.4651550326654129,Validation
Support Vector Machine,MICE,0.001,-6.907755278982137,,,precision,0.10938845822566752,Validation
Support Vector Machine,MICE,0.01,-4.605170185988091,,,precision,0.43270450215506134,Validation
Support Vector Machine,MICE,0.1,-2.3025850929940455,,,precision,0.46573514575891617,Validation
Support Vector Machine,MICE,1.0,0.0,,,precision,0.4665264353577159,Validation
Support Vector Machine,MICE,10.0,2.302585092994046,,,precision,0.46467412621099663,Validation
Support Vector Machine,MICE,100.0,4.605170185988092,,,precision,0.46421809038527007,Validation
Decision Tree,MICE,,,1,2,precision,0.41171325306863493,Validation
Decision Tree,MICE,,,1,5,precision,0.41113712765051236,Validation
Decision Tree,MICE,,,1,10,precision,0.4135508553038135,Validation
Decision Tree,MICE,,,1,15,precision,0.4146744674279688,Validation
Decision Tree,MICE,,,1,20,precision,0.4138948247716242,Validation
Decision Tree,MICE,,,2,2,precision,0.4124725527937944,Validation
Decision Tree,MICE,,,2,5,precision,0.4122160090974495,Validation
Decision Tree,MICE,,,2,10,precision,0.41309543767862045,Validation
Decision Tree,MICE,,,2,15,precision,0.41430633555485763,Validation
Decision Tree,MICE,,,2,20,precision,0.41454598174027824,Validation
Decision Tree,MICE,,,5,2,precision,0.4189485442346584,Validation
Decision Tree,MICE,,,5,5,precision,0.4189485442346584,Validation
Decision Tree,MICE,,,5,10,precision,0.4189485442346584,Validation
Decision Tree,MICE,,,5,15,precision,0.4187291240545697,Validation
Decision Tree,MICE,,,5,20,precision,0.4194692643122888,Validation
Random Forest,MICE,,,1,2,precision,0.42330116078533364,Validation
Random Forest,MICE,,,1,5,precision,0.4250848703132906,Validation
Random Forest,MICE,,,1,10,precision,0.42668295875042833,Validation
Random Forest,MICE,,,1,15,precision,0.42662135283431896,Validation
Random Forest,MICE,,,1,20,precision,0.4294585292459952,Validation
Random Forest,MICE,,,2,2,precision,0.4283342201183014,Validation
Random Forest,MICE,,,2,5,precision,0.42876731036716687,Validation
Random Forest,MICE,,,2,10,precision,0.42754065581168726,Validation
Random Forest,MICE,,,2,15,precision,0.42745966393696105,Validation
Random Forest,MICE,,,2,20,precision,0.4297438799534505,Validation
Random Forest,MICE,,,5,2,precision,0.4307432926521845,Validation
Random Forest,MICE,,,5,5,precision,0.4307432926521845,Validation
Random Forest,MICE,,,5,10,precision,0.4307432926521845,Validation
Random Forest,MICE,,,5,15,precision,0.4307141213745388,Validation
Random Forest,MICE,,,5,20,precision,0.43220522327778177,Validation
Logistic Regression,KNN,0.001,-6.907755278982137,,,recall,0.5400855216960697,Train
Logistic Regression,KNN,0.01,-4.605170185988091,,,recall,0.5400855216960697,Train
Logistic Regression,KNN,0.1,-2.3025850929940455,,,recall,0.5400855216960697,Train
Logistic Regression,KNN,1.0,0.0,,,recall,0.5400855216960697,Train
Logistic Regression,KNN,10.0,2.302585092994046,,,recall,0.5400855216960697,Train
Logistic Regression,KNN,100.0,4.605170185988092,,,recall,0.5400855216960697,Train
Support Vector Machine,KNN,0.001,-6.907755278982137,,,recall,0.3333333333333333,Train
Support Vector Machine,KNN,0.01,-4.605170185988091,,,recall,0.5958116326890043,Train
Support Vector Machine,KNN,0.1,-2.3025850929940455,,,recall,0.5404329607341278,Train
Support Vector Machine,KNN,1.0,0.0,,,recall,0.5337965091411462,Train
Support Vector Machine,KNN,10.0,2.302585092994046,,,recall,0.5360672142433994,Train
Support Vector Machine,KNN,100.0,4.605170185988092,,,recall,0.5431411096548711,Train
Decision Tree,KNN,,,1,2,recall,0.6228744804997266,Train
Decision Tree,KNN,,,1,5,recall,0.6207786385604723,Train
Decision Tree,KNN,,,1,10,recall,0.617198003655086,Train
Decision Tree,KNN,,,1,15,recall,0.6128320284355637,Train
Decision Tree,KNN,,,1,20,recall,0.6113468923762404,Train
Decision Tree,KNN,,,2,2,recall,0.6176353331091792,Train
Decision Tree,KNN,,,2,5,recall,0.6158889887671289,Train
Decision Tree,KNN,,,2,10,recall,0.6116097017605254,Train
Decision Tree,KNN,,,2,15,recall,0.6075927666806192,Train
Decision Tree,KNN,,,2,20,recall,0.6069809171567181,Train
Decision Tree,KNN,,,5,2,recall,0.6001726902394561,Train
Decision Tree,KNN,,,5,5,recall,0.6001726902394561,Train
Decision Tree,KNN,,,5,10,recall,0.6001726902394561,Train
Decision Tree,KNN,,,5,15,recall,0.59746579932708,Train
Decision Tree,KNN,,,5,20,recall,0.597814725102299,Train
Random Forest,KNN,,,1,2,recall,0.5924837431009675,Train
Random Forest,KNN,,,1,5,recall,0.5895140428043066,Train
Random Forest,KNN,,,1,10,recall,0.5884655500126944,Train
Random Forest,KNN,,,1,15,recall,0.5886416711840603,Train
Random Forest,KNN,,,1,20,recall,0.5879429047184462,Train
Random Forest,KNN,,,2,2,recall,0.5937920718025429,Train
Random Forest,KNN,,,2,5,recall,0.593356114721214,Train
Random Forest,KNN,,,2,10,recall,0.5924834000077769,Train
Random Forest,KNN,,,2,15,recall,0.5931827382953759,Train
Random Forest,KNN,,,2,20,recall,0.5922219629962556,Train
Random Forest,KNN,,,5,2,recall,0.5882051422807463,Train
Random Forest,KNN,,,5,5,recall,0.5882051422807463,Train
Random Forest,KNN,,,5,10,recall,0.5882051422807463,Train
Random Forest,KNN,,,5,15,recall,0.5901234906758707,Train
Random Forest,KNN,,,5,20,recall,0.5895993586444616,Train
Logistic Regression,KNN,0.001,-6.907755278982137,,,recall,0.5375523503027225,Train
Logistic Regression,KNN,0.01,-4.605170185988091,,,recall,0.5375523503027225,Train
Logistic Regression,KNN,0.1,-2.3025850929940455,,,recall,0.5375523503027225,Train
Logistic Regression,KNN,1.0,0.0,,,recall,0.5375523503027225,Train
Logistic Regression,KNN,10.0,2.302585092994046,,,recall,0.5375523503027225,Train
Logistic Regression,KNN,100.0,4.605170185988092,,,recall,0.5375523503027225,Train
Support Vector Machine,II,0.001,-6.907755278982137,,,recall,0.3333333333333333,Train
Support Vector Machine,II,0.01,-4.605170185988091,,,recall,0.594327640273651,Train
Support Vector Machine,II,0.1,-2.3025850929940455,,,recall,0.5325723526357563,Train
Support Vector Machine,II,1.0,0.0,,,recall,0.529602995432286,Train
Support Vector Machine,II,10.0,2.302585092994046,,,recall,0.5360687009805604,Train
Support Vector Machine,II,100.0,4.605170185988092,,,recall,0.5392986946447728,Train
Decision Tree,II,,,1,2,recall,0.6564103531801309,Train
Decision Tree,II,,,1,5,recall,0.6543139394188916,Train
Decision Tree,II,,,1,10,recall,0.6468040869260908,Train
Decision Tree,II,,,1,15,recall,0.6404290723446302,Train
Decision Tree,II,,,1,20,recall,0.6386818130874042,Train
Decision Tree,II,,,2,2,recall,0.6542271368415757,Train
Decision Tree,II,,,2,5,recall,0.6529169783096485,Train
Decision Tree,II,,,2,10,recall,0.6457553654056848,Train
Decision Tree,II,,,2,15,recall,0.6397300771502222,Train
Decision Tree,II,,,2,20,recall,0.6378086409163791,Train
Decision Tree,II,,,5,2,recall,0.6409528612828482,Train
Decision Tree,II,,,5,5,recall,0.6409528612828482,Train
Decision Tree,II,,,5,10,recall,0.6409528612828482,Train
Decision Tree,II,,,5,15,recall,0.6361494422448358,Train
Decision Tree,II,,,5,20,recall,0.6360621822099317,Train
Random Forest,II,,,1,2,recall,0.6173804148682865,Train
Random Forest,II,,,1,5,recall,0.6134502823656962,Train
Random Forest,II,,,1,10,recall,0.6134494818149172,Train
Random Forest,II,,,1,15,recall,0.6137990937765182,Train
Random Forest,II,,,1,20,recall,0.6145830617178906,Train
Random Forest,II,,,2,2,recall,0.6172037218749356,Train
Random Forest,II,,,2,5,recall,0.6131857575154565,Train
Random Forest,II,,,2,10,recall,0.6152824000054895,Train
Random Forest,II,,,2,15,recall,0.6137977214037543,Train
Random Forest,II,,,2,20,recall,0.6124852755838875,Train
Random Forest,II,,,5,2,recall,0.6111753457807543,Train
Random Forest,II,,,5,5,recall,0.6111753457807543,Train
Random Forest,II,,,5,10,recall,0.6111753457807543,Train
Random Forest,II,,,5,15,recall,0.608031811600667,Train
Random Forest,II,,,5,20,recall,0.609168250613565,Train
Logistic Regression,None,0.001,-6.907755278982137,,,recall,0.539710063729953,Train
Logistic Regression,None,0.01,-4.605170185988091,,,recall,0.539710063729953,Train
Logistic Regression,None,0.1,-2.3025850929940455,,,recall,0.539710063729953,Train
Logistic Regression,None,1.0,0.0,,,recall,0.539710063729953,Train
Logistic Regression,None,10.0,2.302585092994046,,,recall,0.539710063729953,Train
Logistic Regression,None,100.0,4.605170185988092,,,recall,0.539710063729953,Train
Support Vector Machine,None,0.001,-6.907755278982137,,,recall,1.0,Train
Support Vector Machine,None,0.01,-4.605170185988091,,,recall,0.5999181393032502,Train
Support Vector Machine,None,0.1,-2.3025850929940455,,,recall,0.5268805005019026,Train
Support Vector Machine,None,1.0,0.0,,,recall,0.5362471695029997,Train
Support Vector Machine,None,10.0,2.302585092994046,,,recall,0.5336011703278317,Train
Support Vector Machine,None,100.0,4.605170185988092,,,recall,0.5354340095400393,Train
Decision Tree,None,,,1,2,recall,0.6241394121903963,Train
Decision Tree,None,,,1,5,recall,0.6215934822700003,Train
Decision Tree,None,,,1,10,recall,0.6181304324143458,Train
Decision Tree,None,,,1,15,recall,0.6136483258242486,Train
Decision Tree,None,,,1,20,recall,0.6111036409334609,Train
Decision Tree,None,,,2,2,recall,0.62240804289127,Train
Decision Tree,None,,,2,5,recall,0.620677140478247,Train
Decision Tree,None,,,2,10,recall,0.6168071215693599,Train
Decision Tree,None,,,2,15,recall,0.6128336095742776,Train
Decision Tree,None,,,2,20,recall,0.6099834255433387,Train
Decision Tree,None,,,5,2,recall,0.6037683933671047,Train
Decision Tree,None,,,5,5,recall,0.6037683933671047,Train
Decision Tree,None,,,5,10,recall,0.6037683933671047,Train
Decision Tree,None,,,5,15,recall,0.6019350872687941,Train
Decision Tree,None,,,5,20,recall,0.6000010894009072,Train
Random Forest,None,,,1,2,recall,0.5999013314035373,Train
Random Forest,None,,,1,5,recall,0.5962347192069163,Train
Random Forest,None,,,1,10,recall,0.5932818202332872,Train
Random Forest,None,,,1,15,recall,0.5932811977184832,Train
Random Forest,None,,,1,20,recall,0.5933846908046783,Train
Random Forest,None,,,2,2,recall,0.5954201585856463,Train
Random Forest,None,,,2,5,recall,0.5944023468808116,Train
Random Forest,None,,,2,10,recall,0.5930781022636195,Train
Random Forest,None,,,2,15,recall,0.5933828232602657,Train
Random Forest,None,,,2,20,recall,0.5928737617791472,Train
Random Forest,None,,,5,2,recall,0.5901253589186918,Train
Random Forest,None,,,5,5,recall,0.5901253589186918,Train
Random Forest,None,,,5,10,recall,0.5901253589186918,Train
Random Forest,None,,,5,15,recall,0.592772291866066,Train
Random Forest,None,,,5,20,recall,0.5898181478628288,Train
Logistic Regression,MICE,0.001,-6.907755278982137,,,recall,0.5402599274014809,Train
Logistic Regression,MICE,0.01,-4.605170185988091,,,recall,0.5402599274014809,Train
Logistic Regression,MICE,0.1,-2.3025850929940455,,,recall,0.5402599274014809,Train
Logistic Regression,MICE,1.0,0.0,,,recall,0.5402599274014809,Train
Logistic Regression,MICE,10.0,2.302585092994046,,,recall,0.5402599274014809,Train
Logistic Regression,MICE,100.0,4.605170185988092,,,recall,0.5402599274014809,Train
Support Vector Machine,MICE,0.001,-6.907755278982137,,,recall,0.3333333333333333,Train
Support Vector Machine,MICE,0.01,-4.605170185988091,,,recall,0.601423150556154,Train
Support Vector Machine,MICE,0.1,-2.3025850929940455,,,recall,0.5401715237226069,Train
Support Vector Machine,MICE,1.0,0.0,,,recall,0.5456759965141732,Train
Support Vector Machine,MICE,10.0,2.302585092994046,,,recall,0.5479464728876324,Train
Support Vector Machine,MICE,100.0,4.605170185988092,,,recall,0.5484696900038656,Train
Decision Tree,MICE,,,1,2,recall,0.6612141153113342,Train
Decision Tree,MICE,,,1,5,recall,0.6585939126118769,Train
Decision Tree,MICE,,,1,10,recall,0.6514339008094712,Train
Decision Tree,MICE,,,1,15,recall,0.6456689059215599,Train
Decision Tree,MICE,,,1,20,recall,0.6400787741966473,Train
Decision Tree,MICE,,,2,2,recall,0.6579834354607398,Train
Decision Tree,MICE,,,2,5,recall,0.6560621135912936,Train
Decision Tree,MICE,,,2,10,recall,0.6483772835710969,Train
Decision Tree,MICE,,,2,15,recall,0.6426993199892955,Train
Decision Tree,MICE,,,2,20,recall,0.6395550996228262,Train
Decision Tree,MICE,,,5,2,recall,0.6367627785058977,Train
