model,imputation,param_model__C,log_C,param_model__min_samples_leaf,param_model__min_samples_split,metric,score,dataset
Support Vector Machine,None,0.1,-2.3025850929940455,,,f1,0.4950836166414318,Train
Support Vector Machine,None,1.0,0.0,,,f1,0.49949230830061403,Train
Support Vector Machine,None,10.0,2.302585092994046,,,f1,0.5013529854381996,Train
Support Vector Machine,None,100.0,4.605170185988092,,,f1,0.5049146487793315,Train
Decision Tree,None,,,1,2,f1,0.5451646213509738,Train
Decision Tree,None,,,1,5,f1,0.5417553972183656,Train
Decision Tree,None,,,1,10,f1,0.5375919578452482,Train
Decision Tree,None,,,1,15,f1,0.5357233578208607,Train
Decision Tree,None,,,1,20,f1,0.5341815704656885,Train
Decision Tree,None,,,2,2,f1,0.5392502145016611,Train
Decision Tree,None,,,2,5,f1,0.538426178950479,Train
Decision Tree,None,,,2,10,f1,0.5352196410746014,Train
Decision Tree,None,,,2,15,f1,0.5334657736104286,Train
Decision Tree,None,,,2,20,f1,0.532065831912306,Train
Decision Tree,None,,,5,2,f1,0.528561772071012,Train
Decision Tree,None,,,5,5,f1,0.528561772071012,Train
Decision Tree,None,,,5,10,f1,0.528561772071012,Train
Decision Tree,None,,,5,15,f1,0.5276314565654627,Train
Decision Tree,None,,,5,20,f1,0.5265368797917844,Train
Random Forest,None,,,1,2,f1,0.5403515908162682,Train
Random Forest,None,,,1,5,f1,0.5366296724769269,Train
Random Forest,None,,,1,10,f1,0.5331539605962632,Train
Random Forest,None,,,1,15,f1,0.5311193975608063,Train
Random Forest,None,,,1,20,f1,0.5294187153727145,Train
Random Forest,None,,,2,2,f1,0.5342254138292323,Train
Random Forest,None,,,2,5,f1,0.5335333445397586,Train
Random Forest,None,,,2,10,f1,0.531428161481627,Train
Random Forest,None,,,2,15,f1,0.5296350145794398,Train
Random Forest,None,,,2,20,f1,0.5278297201899566,Train
Random Forest,None,,,5,2,f1,0.5258089077825814,Train
Random Forest,None,,,5,5,f1,0.5258089077825814,Train
Random Forest,None,,,5,10,f1,0.5258089077825814,Train
Random Forest,None,,,5,15,f1,0.5252296337259242,Train
Random Forest,None,,,5,20,f1,0.5234253393098866,Train
Logistic Regression,MICE,0.001,-6.907755278982137,,,f1,0.5019996390895204,Train
Logistic Regression,MICE,0.01,-4.605170185988091,,,f1,0.5019996390895204,Train
Logistic Regression,MICE,0.1,-2.3025850929940455,,,f1,0.5019996390895204,Train
Logistic Regression,MICE,1.0,0.0,,,f1,0.5019996390895204,Train
Logistic Regression,MICE,10.0,2.302585092994046,,,f1,0.5019996390895204,Train
Logistic Regression,MICE,100.0,4.605170185988092,,,f1,0.5019996390895204,Train
Support Vector Machine,MICE,0.001,-6.907755278982137,,,f1,0.16493955094991364,Train
Support Vector Machine,MICE,0.01,-4.605170185988091,,,f1,0.5046880520215925,Train
Support Vector Machine,MICE,0.1,-2.3025850929940455,,,f1,0.5049202063506666,Train
Support Vector Machine,MICE,1.0,0.0,,,f1,0.5106227460356237,Train
Support Vector Machine,MICE,10.0,2.302585092994046,,,f1,0.5147553591517998,Train
Support Vector Machine,MICE,100.0,4.605170185988092,,,f1,0.5168836557829006,Train
Decision Tree,MICE,,,1,2,f1,0.5705016597786235,Train
Decision Tree,MICE,,,1,5,f1,0.566049023480968,Train
Decision Tree,MICE,,,1,10,f1,0.5597948418807833,Train
Decision Tree,MICE,,,1,15,f1,0.5552813945622936,Train
Decision Tree,MICE,,,1,20,f1,0.5515709648161878,Train
Decision Tree,MICE,,,2,2,f1,0.5610322763772175,Train
Decision Tree,MICE,,,2,5,f1,0.5602551275769357,Train
Decision Tree,MICE,,,2,10,f1,0.5557945433072167,Train
Decision Tree,MICE,,,2,15,f1,0.5519431532249727,Train
Decision Tree,MICE,,,2,20,f1,0.5493445025322221,Train
Decision Tree,MICE,,,5,2,f1,0.5473269605394047,Train
Decision Tree,MICE,,,5,5,f1,0.5473269605394047,Train
Decision Tree,MICE,,,5,10,f1,0.5473269605394047,Train
Decision Tree,MICE,,,5,15,f1,0.5454327521229171,Train
Decision Tree,MICE,,,5,20,f1,0.5442162218439426,Train
Random Forest,MICE,,,1,2,f1,0.5635711978323457,Train
Random Forest,MICE,,,1,5,f1,0.5587402917110181,Train
Random Forest,MICE,,,1,10,f1,0.5537915865453724,Train
Random Forest,MICE,,,1,15,f1,0.5505397049338844,Train
Random Forest,MICE,,,1,20,f1,0.5470816779019237,Train
Random Forest,MICE,,,2,2,f1,0.5546703503011858,Train
Random Forest,MICE,,,2,5,f1,0.5538639197580889,Train
Random Forest,MICE,,,2,10,f1,0.5506252524669147,Train
Random Forest,MICE,,,2,15,f1,0.5476880773212879,Train
Random Forest,MICE,,,2,20,f1,0.54508651668568,Train
Random Forest,MICE,,,5,2,f1,0.5426746502491149,Train
Random Forest,MICE,,,5,5,f1,0.5426746502491149,Train
Random Forest,MICE,,,5,10,f1,0.5426746502491149,Train
Random Forest,MICE,,,5,15,f1,0.5414815545691665,Train
Random Forest,MICE,,,5,20,f1,0.5394760339696208,Train
Logistic Regression,KNN,0.001,-6.907755278982137,,,f1,0.4990618768264501,Validation
Logistic Regression,KNN,0.01,-4.605170185988091,,,f1,0.4990618768264501,Validation
Logistic Regression,KNN,0.1,-2.3025850929940455,,,f1,0.4990618768264501,Validation
Logistic Regression,KNN,1.0,0.0,,,f1,0.4990618768264501,Validation
Logistic Regression,KNN,10.0,2.302585092994046,,,f1,0.4990618768264501,Validation
Logistic Regression,KNN,100.0,4.605170185988092,,,f1,0.4990618768264501,Validation
Support Vector Machine,KNN,0.001,-6.907755278982137,,,f1,0.16472114137483784,Validation
Support Vector Machine,KNN,0.01,-4.605170185988091,,,f1,0.497813403728348,Validation
Support Vector Machine,KNN,0.1,-2.3025850929940455,,,f1,0.4973813155739001,Validation
Support Vector Machine,KNN,1.0,0.0,,,f1,0.4934577955397942,Validation
Support Vector Machine,KNN,10.0,2.302585092994046,,,f1,0.48714121992708426,Validation
Support Vector Machine,KNN,100.0,4.605170185988092,,,f1,0.48690463257869815,Validation
Decision Tree,KNN,,,1,2,f1,0.47454778666537695,Validation
Decision Tree,KNN,,,1,5,f1,0.4754809741734841,Validation
Decision Tree,KNN,,,1,10,f1,0.4770998444951593,Validation
Decision Tree,KNN,,,1,15,f1,0.4774917252718613,Validation
Decision Tree,KNN,,,1,20,f1,0.4782418837539678,Validation
Decision Tree,KNN,,,2,2,f1,0.4766142449965415,Validation
Decision Tree,KNN,,,2,5,f1,0.4753321429715886,Validation
Decision Tree,KNN,,,2,10,f1,0.4765983116114481,Validation
Decision Tree,KNN,,,2,15,f1,0.4768382341214883,Validation
Decision Tree,KNN,,,2,20,f1,0.4782226600216665,Validation
Decision Tree,KNN,,,5,2,f1,0.4801951135394527,Validation
Decision Tree,KNN,,,5,5,f1,0.4801951135394527,Validation
Decision Tree,KNN,,,5,10,f1,0.4801951135394527,Validation
Decision Tree,KNN,,,5,15,f1,0.4791755760486052,Validation
Decision Tree,KNN,,,5,20,f1,0.4808528734995282,Validation
Random Forest,KNN,,,1,2,f1,0.4630806330713369,Validation
Random Forest,KNN,,,1,5,f1,0.46487389662183654,Validation
Random Forest,KNN,,,1,10,f1,0.4700836551929106,Validation
Random Forest,KNN,,,1,15,f1,0.47550559481456,Validation
Random Forest,KNN,,,1,20,f1,0.47704797152415923,Validation
Random Forest,KNN,,,2,2,f1,0.4731074739558626,Validation
Random Forest,KNN,,,2,5,f1,0.47334348951231686,Validation
Random Forest,KNN,,,2,10,f1,0.4768495986211681,Validation
Random Forest,KNN,,,2,15,f1,0.479383588202647,Validation
Random Forest,KNN,,,2,20,f1,0.48104056214237084,Validation
Random Forest,KNN,,,5,2,f1,0.4832113469263935,Validation
Random Forest,KNN,,,5,5,f1,0.4832113469263935,Validation
Random Forest,KNN,,,5,10,f1,0.4832113469263935,Validation
Random Forest,KNN,,,5,15,f1,0.4844044621226723,Validation
Random Forest,KNN,,,5,20,f1,0.4845190836010663,Validation
Logistic Regression,KNN,0.001,-6.907755278982137,,,f1,0.4987963631068288,Validation
Logistic Regression,KNN,0.01,-4.605170185988091,,,f1,0.4987963631068288,Validation
Logistic Regression,KNN,0.1,-2.3025850929940455,,,f1,0.4987963631068288,Validation
Logistic Regression,KNN,1.0,0.0,,,f1,0.4987963631068288,Validation
Logistic Regression,KNN,10.0,2.302585092994046,,,f1,0.4987963631068288,Validation
Logistic Regression,KNN,100.0,4.605170185988092,,,f1,0.4987963631068288,Validation
Support Vector Machine,II,0.001,-6.907755278982137,,,f1,0.16472114137483784,Validation
Support Vector Machine,II,0.01,-4.605170185988091,,,f1,0.4969174348769822,Validation
Support Vector Machine,II,0.1,-2.3025850929940455,,,f1,0.49563520442461945,Validation
Support Vector Machine,II,1.0,0.0,,,f1,0.49161496141392397,Validation
Support Vector Machine,II,10.0,2.302585092994046,,,f1,0.48753656935732326,Validation
Support Vector Machine,II,100.0,4.605170185988092,,,f1,0.4856416252928904,Validation
Decision Tree,II,,,1,2,f1,0.46874284364029395,Validation
Decision Tree,II,,,1,5,f1,0.4708536242443149,Validation
Decision Tree,II,,,1,10,f1,0.47421425534488093,Validation
Decision Tree,II,,,1,15,f1,0.47387296522801564,Validation
Decision Tree,II,,,1,20,f1,0.47483411824594135,Validation
Decision Tree,II,,,2,2,f1,0.4747995789852089,Validation
Decision Tree,II,,,2,5,f1,0.4738670326561554,Validation
Decision Tree,II,,,2,10,f1,0.47349608534316173,Validation
Decision Tree,II,,,2,15,f1,0.47415572977846815,Validation
Decision Tree,II,,,2,20,f1,0.47559642980327405,Validation
Decision Tree,II,,,5,2,f1,0.477247420035073,Validation
Decision Tree,II,,,5,5,f1,0.477247420035073,Validation
Decision Tree,II,,,5,10,f1,0.477247420035073,Validation
Decision Tree,II,,,5,15,f1,0.47573891120091366,Validation
Decision Tree,II,,,5,20,f1,0.47691171900334073,Validation
Random Forest,II,,,1,2,f1,0.4647265636115972,Validation
Random Forest,II,,,1,5,f1,0.46645314814861805,Validation
Random Forest,II,,,1,10,f1,0.47163730397374426,Validation
Random Forest,II,,,1,15,f1,0.4754368555425634,Validation
Random Forest,II,,,1,20,f1,0.4778948582362265,Validation
Random Forest,II,,,2,2,f1,0.47294374139862366,Validation
Random Forest,II,,,2,5,f1,0.47456770474551563,Validation
Random Forest,II,,,2,10,f1,0.47668065714479385,Validation
Random Forest,II,,,2,15,f1,0.47818460568134247,Validation
Random Forest,II,,,2,20,f1,0.4810090508268738,Validation
Random Forest,II,,,5,2,f1,0.48196505461865213,Validation
Random Forest,II,,,5,5,f1,0.48196505461865213,Validation
Random Forest,II,,,5,10,f1,0.48196505461865213,Validation
Random Forest,II,,,5,15,f1,0.4834736098511884,Validation
Random Forest,II,,,5,20,f1,0.48597146392419016,Validation
Logistic Regression,None,0.001,-6.907755278982137,,,f1,0.4942411736283515,Validation
Logistic Regression,None,0.01,-4.605170185988091,,,f1,0.4942411736283515,Validation
Logistic Regression,None,0.1,-2.3025850929940455,,,f1,0.4942411736283515,Validation
Logistic Regression,None,1.0,0.0,,,f1,0.4942411736283515,Validation
Logistic Regression,None,10.0,2.302585092994046,,,f1,0.4942411736283515,Validation
Logistic Regression,None,100.0,4.605170185988092,,,f1,0.4942411736283515,Validation
Support Vector Machine,None,0.001,-6.907755278982137,,,f1,0.4816084491191621,Validation
Support Vector Machine,None,0.01,-4.605170185988091,,,f1,0.48377656255757173,Validation
Support Vector Machine,None,0.1,-2.3025850929940455,,,f1,0.4870179687300212,Validation
Support Vector Machine,None,1.0,0.0,,,f1,0.48934585525724295,Validation
Support Vector Machine,None,10.0,2.302585092994046,,,f1,0.48480091535631203,Validation
Support Vector Machine,None,100.0,4.605170185988092,,,f1,0.4860872334323538,Validation
Decision Tree,None,,,1,2,f1,0.46226654561972175,Validation
Decision Tree,None,,,1,5,f1,0.46314799512917637,Validation
Decision Tree,None,,,1,10,f1,0.46331406257449415,Validation
Decision Tree,None,,,1,15,f1,0.462692871729305,Validation
Decision Tree,None,,,1,20,f1,0.4618638164711309,Validation
Decision Tree,None,,,2,2,f1,0.46577066026746616,Validation
Decision Tree,None,,,2,5,f1,0.4657643751127152,Validation
Decision Tree,None,,,2,10,f1,0.4649231822626002,Validation
Decision Tree,None,,,2,15,f1,0.4647931230788817,Validation
Decision Tree,None,,,2,20,f1,0.4638193123756803,Validation
Decision Tree,None,,,5,2,f1,0.4659016635312399,Validation
Decision Tree,None,,,5,5,f1,0.4659016635312399,Validation
Decision Tree,None,,,5,10,f1,0.4659016635312399,Validation
Decision Tree,None,,,5,15,f1,0.4652866468493755,Validation
Decision Tree,None,,,5,20,f1,0.46463549952007516,Validation
Random Forest,None,,,1,2,f1,0.4572619293589223,Validation
Random Forest,None,,,1,5,f1,0.45687610784981536,Validation
Random Forest,None,,,1,10,f1,0.45938499580009395,Validation
Random Forest,None,,,1,15,f1,0.4599547388042447,Validation
Random Forest,None,,,1,20,f1,0.4629491353642604,Validation
Random Forest,None,,,2,2,f1,0.4593571082988436,Validation
Random Forest,None,,,2,5,f1,0.4592213388915116,Validation
Random Forest,None,,,2,10,f1,0.45930895192968946,Validation
Random Forest,None,,,2,15,f1,0.4608178883983799,Validation
Random Forest,None,,,2,20,f1,0.46339330577019944,Validation
Random Forest,None,,,5,2,f1,0.46399627503598423,Validation
Random Forest,None,,,5,5,f1,0.46399627503598423,Validation
Random Forest,None,,,5,10,f1,0.46399627503598423,Validation
Random Forest,None,,,5,15,f1,0.4632834454613835,Validation
Random Forest,None,,,5,20,f1,0.46517152102691706,Validation
Logistic Regression,MICE,0.001,-6.907755278982137,,,f1,0.49840114834752747,Validation
Logistic Regression,MICE,0.01,-4.605170185988091,,,f1,0.49840114834752747,Validation
Logistic Regression,MICE,0.1,-2.3025850929940455,,,f1,0.49840114834752747,Validation
Logistic Regression,MICE,1.0,0.0,,,f1,0.49840114834752747,Validation
Logistic Regression,MICE,10.0,2.302585092994046,,,f1,0.49840114834752747,Validation
Logistic Regression,MICE,100.0,4.605170185988092,,,f1,0.49840114834752747,Validation
Support Vector Machine,MICE,0.001,-6.907755278982137,,,f1,0.16472114137483784,Validation
Support Vector Machine,MICE,0.01,-4.605170185988091,,,f1,0.4974704290939609,Validation
Support Vector Machine,MICE,0.1,-2.3025850929940455,,,f1,0.4966331605098622,Validation
Support Vector Machine,MICE,1.0,0.0,,,f1,0.49609425143965097,Validation
Support Vector Machine,MICE,10.0,2.302585092994046,,,f1,0.4922954407717394,Validation
Support Vector Machine,MICE,100.0,4.605170185988092,,,f1,0.4895360183510075,Validation
Decision Tree,MICE,,,1,2,f1,0.4666708611301866,Validation
Decision Tree,MICE,,,1,5,f1,0.46753925793406764,Validation
Decision Tree,MICE,,,1,10,f1,0.4709963434131118,Validation
Decision Tree,MICE,,,1,15,f1,0.47157647088019944,Validation
Decision Tree,MICE,,,1,20,f1,0.4698642216465995,Validation
Decision Tree,MICE,,,2,2,f1,0.4735352756855042,Validation
Decision Tree,MICE,,,2,5,f1,0.4729533522753454,Validation
Decision Tree,MICE,,,2,10,f1,0.47299254269473745,Validation
Decision Tree,MICE,,,2,15,f1,0.47324503553514063,Validation
Decision Tree,MICE,,,2,20,f1,0.473124335859776,Validation
Decision Tree,MICE,,,5,2,f1,0.4769229995481517,Validation
Decision Tree,MICE,,,5,5,f1,0.4769229995481517,Validation
Decision Tree,MICE,,,5,10,f1,0.4769229995481517,Validation
Decision Tree,MICE,,,5,15,f1,0.47568392577550217,Validation
Decision Tree,MICE,,,5,20,f1,0.4767744736597114,Validation
Random Forest,MICE,,,1,2,f1,0.4637710757281427,Validation
Random Forest,MICE,,,1,5,f1,0.465629735031392,Validation
Random Forest,MICE,,,1,10,f1,0.47129840163196374,Validation
Random Forest,MICE,,,1,15,f1,0.4734926044254626,Validation
Random Forest,MICE,,,1,20,f1,0.477430782252146,Validation
Random Forest,MICE,,,2,2,f1,0.4719243425196229,Validation
